; classfreq  -v 1 -ci 1 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m1/peak-motifs_positions_7nt_m1_sites_per_peak.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
1	2	1.5	184	184	326	0.56442	0.56442	1.00000
2	3	2.5	57	241	142	0.17485	0.73926	0.43558
3	4	3.5	38	279	85	0.11656	0.85583	0.26074
4	5	4.5	11	290	47	0.03374	0.88957	0.14417
5	6	5.5	9	299	36	0.02761	0.91718	0.11043
6	7	6.5	5	304	27	0.01534	0.93252	0.08282
7	8	7.5	5	309	22	0.01534	0.94785	0.06748
8	9	8.5	1	310	17	0.00307	0.95092	0.05215
9	10	9.5	0	310	16	0.00000	0.95092	0.04908
10	11	10.5	3	313	16	0.00920	0.96012	0.04908
11	12	11.5	1	314	13	0.00307	0.96319	0.03988
12	13	12.5	0	314	12	0.00000	0.96319	0.03681
13	14	13.5	1	315	12	0.00307	0.96626	0.03681
14	15	14.5	3	318	11	0.00920	0.97546	0.03374
15	16	15.5	3	321	8	0.00920	0.98466	0.02454
16	17	16.5	1	322	5	0.00307	0.98773	0.01534
17	18	17.5	0	322	4	0.00000	0.98773	0.01227
18	19	18.5	0	322	4	0.00000	0.98773	0.01227
19	20	19.5	1	323	4	0.00307	0.99080	0.01227
20	21	20.5	1	324	3	0.00307	0.99387	0.00920
21	22	21.5	0	324	2	0.00000	0.99387	0.00613
22	23	22.5	0	324	2	0.00000	0.99387	0.00613
23	24	23.5	0	324	2	0.00000	0.99387	0.00613
24	25	24.5	0	324	2	0.00000	0.99387	0.00613
25	26	25.5	0	324	2	0.00000	0.99387	0.00613
26	27	26.5	0	324	2	0.00000	0.99387	0.00613
27	28	27.5	0	324	2	0.00000	0.99387	0.00613
28	29	28.5	0	324	2	0.00000	0.99387	0.00613
29	30	29.5	0	324	2	0.00000	0.99387	0.00613
30	31	30.5	0	324	2	0.00000	0.99387	0.00613
31	32	31.5	0	324	2	0.00000	0.99387	0.00613
32	33	32.5	0	324	2	0.00000	0.99387	0.00613
33	34	33.5	0	324	2	0.00000	0.99387	0.00613
34	35	34.5	1	325	2	0.00307	0.99693	0.00613
35	36	35.5	0	325	1	0.00000	0.99693	0.00307
36	37	36.5	0	325	1	0.00000	0.99693	0.00307
37	38	37.5	0	325	1	0.00000	0.99693	0.00307
38	39	38.5	1	326	1	0.00307	1.00000	0.00307
; Statistics:
; -----------
; class interval     	1
; classes            	38
; count              	326
; sum                	842
; mean               	2.58282
; median class       	[2..3[
; var                	15.2
; std                	3.89244
; min                	1
; max                	38
; range              	37
; Host name	biow
; Job started	2014-10-08.084718
; Job done	2014-10-08.084718
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
