; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	947	0.00106	0.00106	1.00000
-460	-440	-450	0	1	946	0.00000	0.00106	0.99894
-440	-420	-430	0	1	946	0.00000	0.00106	0.99894
-420	-400	-410	0	1	946	0.00000	0.00106	0.99894
-400	-380	-390	0	1	946	0.00000	0.00106	0.99894
-380	-360	-370	0	1	946	0.00000	0.00106	0.99894
-360	-340	-350	0	1	946	0.00000	0.00106	0.99894
-340	-320	-330	0	1	946	0.00000	0.00106	0.99894
-320	-300	-310	0	1	946	0.00000	0.00106	0.99894
-300	-280	-290	0	1	946	0.00000	0.00106	0.99894
-280	-260	-270	0	1	946	0.00000	0.00106	0.99894
-260	-240	-250	2	3	946	0.00211	0.00317	0.99894
-240	-220	-230	6	9	944	0.00634	0.00950	0.99683
-220	-200	-210	3	12	938	0.00317	0.01267	0.99050
-200	-180	-190	7	19	935	0.00739	0.02006	0.98733
-180	-160	-170	8	27	928	0.00845	0.02851	0.97994
-160	-140	-150	16	43	920	0.01690	0.04541	0.97149
-140	-120	-130	15	58	904	0.01584	0.06125	0.95459
-120	-100	-110	30	88	889	0.03168	0.09293	0.93875
-100	-80	-90	38	126	859	0.04013	0.13305	0.90707
-80	-60	-70	63	189	821	0.06653	0.19958	0.86695
-60	-40	-50	94	283	758	0.09926	0.29884	0.80042
-40	-20	-30	90	373	664	0.09504	0.39388	0.70116
-20	0	-10	112	485	574	0.11827	0.51214	0.60612
0	20	10	96	581	462	0.10137	0.61352	0.48786
20	40	30	95	676	366	0.10032	0.71383	0.38648
40	60	50	88	764	271	0.09293	0.80676	0.28617
60	80	70	72	836	183	0.07603	0.88279	0.19324
80	100	90	42	878	111	0.04435	0.92714	0.11721
100	120	110	31	909	69	0.03273	0.95987	0.07286
120	140	130	17	926	38	0.01795	0.97782	0.04013
140	160	150	10	936	21	0.01056	0.98838	0.02218
160	180	170	7	943	11	0.00739	0.99578	0.01162
180	200	190	1	944	4	0.00106	0.99683	0.00422
200	220	210	2	946	3	0.00211	0.99894	0.00317
220	240	230	1	947	1	0.00106	1.00000	0.00106
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	947
; sum                	-3826
; mean               	-4.04013
; median class       	[-40..-20[
; var                	5.71e+03
; std                	75.5609
; min                	-462
; max                	237
; range              	699
; Host name	biow
; Job started	2014-10-07.094310
; Job done	2014-10-07.094310
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
