; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-340	-320	-330	1	1	475	0.00211	0.00211	1.00000
-320	-300	-310	0	1	474	0.00000	0.00211	0.99789
-300	-280	-290	0	1	474	0.00000	0.00211	0.99789
-280	-260	-270	1	2	474	0.00211	0.00421	0.99789
-260	-240	-250	1	3	473	0.00211	0.00632	0.99579
-240	-220	-230	2	5	472	0.00421	0.01053	0.99368
-220	-200	-210	0	5	470	0.00000	0.01053	0.98947
-200	-180	-190	3	8	470	0.00632	0.01684	0.98947
-180	-160	-170	0	8	467	0.00000	0.01684	0.98316
-160	-140	-150	3	11	467	0.00632	0.02316	0.98316
-140	-120	-130	7	18	464	0.01474	0.03789	0.97684
-120	-100	-110	20	38	457	0.04211	0.08000	0.96211
-100	-80	-90	27	65	437	0.05684	0.13684	0.92000
-80	-60	-70	23	88	410	0.04842	0.18526	0.86316
-60	-40	-50	33	121	387	0.06947	0.25474	0.81474
-40	-20	-30	45	166	354	0.09474	0.34947	0.74526
-20	0	-10	48	214	309	0.10105	0.45053	0.65053
0	20	10	59	273	261	0.12421	0.57474	0.54947
20	40	30	59	332	202	0.12421	0.69895	0.42526
40	60	50	43	375	143	0.09053	0.78947	0.30105
60	80	70	22	397	100	0.04632	0.83579	0.21053
80	100	90	25	422	78	0.05263	0.88842	0.16421
100	120	110	11	433	53	0.02316	0.91158	0.11158
120	140	130	10	443	42	0.02105	0.93263	0.08842
140	160	150	11	454	32	0.02316	0.95579	0.06737
160	180	170	7	461	21	0.01474	0.97053	0.04421
180	200	190	5	466	14	0.01053	0.98105	0.02947
200	220	210	3	469	9	0.00632	0.98737	0.01895
220	240	230	1	470	6	0.00211	0.98947	0.01263
240	260	250	3	473	5	0.00632	0.99579	0.01053
260	280	270	0	473	2	0.00000	0.99579	0.00421
280	300	290	2	475	2	0.00421	1.00000	0.00421
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	475
; sum                	3658
; mean               	7.70105
; median class       	[-20..0[
; var                	6.85e+03
; std                	82.7701
; min                	-330
; max                	298
; range              	628
; Host name	biow
; Job started	2014-10-08.084802
; Job done	2014-10-08.084802
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
