; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/07/peak-motifs.2014-10-07.093009_2014-10-07.093009_rKpHEN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	1	1	1187	0.00084	0.00084	1.00000
-420	-400	-410	0	1	1186	0.00000	0.00084	0.99916
-400	-380	-390	0	1	1186	0.00000	0.00084	0.99916
-380	-360	-370	0	1	1186	0.00000	0.00084	0.99916
-360	-340	-350	0	1	1186	0.00000	0.00084	0.99916
-340	-320	-330	0	1	1186	0.00000	0.00084	0.99916
-320	-300	-310	2	3	1186	0.00168	0.00253	0.99916
-300	-280	-290	0	3	1184	0.00000	0.00253	0.99747
-280	-260	-270	0	3	1184	0.00000	0.00253	0.99747
-260	-240	-250	0	3	1184	0.00000	0.00253	0.99747
-240	-220	-230	1	4	1184	0.00084	0.00337	0.99747
-220	-200	-210	6	10	1183	0.00505	0.00842	0.99663
-200	-180	-190	4	14	1177	0.00337	0.01179	0.99158
-180	-160	-170	10	24	1173	0.00842	0.02022	0.98821
-160	-140	-150	17	41	1163	0.01432	0.03454	0.97978
-140	-120	-130	22	63	1146	0.01853	0.05307	0.96546
-120	-100	-110	37	100	1124	0.03117	0.08425	0.94693
-100	-80	-90	45	145	1087	0.03791	0.12216	0.91575
-80	-60	-70	64	209	1042	0.05392	0.17607	0.87784
-60	-40	-50	112	321	978	0.09436	0.27043	0.82393
-40	-20	-30	110	431	866	0.09267	0.36310	0.72957
-20	0	-10	121	552	756	0.10194	0.46504	0.63690
0	20	10	133	685	635	0.11205	0.57709	0.53496
20	40	30	127	812	502	0.10699	0.68408	0.42291
40	60	50	103	915	375	0.08677	0.77085	0.31592
60	80	70	88	1003	272	0.07414	0.84499	0.22915
80	100	90	47	1050	184	0.03960	0.88458	0.15501
100	120	110	53	1103	137	0.04465	0.92923	0.11542
120	140	130	31	1134	84	0.02612	0.95535	0.07077
140	160	150	29	1163	53	0.02443	0.97978	0.04465
160	180	170	12	1175	24	0.01011	0.98989	0.02022
180	200	190	5	1180	12	0.00421	0.99410	0.01011
200	220	210	2	1182	7	0.00168	0.99579	0.00590
220	240	230	4	1186	5	0.00337	0.99916	0.00421
240	260	250	0	1186	1	0.00000	0.99916	0.00084
260	280	270	0	1186	1	0.00000	0.99916	0.00084
280	300	290	1	1187	1	0.00084	1.00000	0.00084
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	1187
; sum                	5632
; mean               	4.74473
; median class       	[-20..0[
; var                	6.07e+03
; std                	77.9282
; min                	-429
; max                	292
; range              	721
; Host name	biow
; Job started	2014-10-07.094322
; Job done	2014-10-07.094322
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
