; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m5/peak-motifs_oligos_7nt_mkv5_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-320	-300	-310	1	1	657	0.00152	0.00152	1.00000
-300	-280	-290	0	1	656	0.00000	0.00152	0.99848
-280	-260	-270	2	3	656	0.00304	0.00457	0.99848
-260	-240	-250	0	3	654	0.00000	0.00457	0.99543
-240	-220	-230	1	4	654	0.00152	0.00609	0.99543
-220	-200	-210	2	6	653	0.00304	0.00913	0.99391
-200	-180	-190	3	9	651	0.00457	0.01370	0.99087
-180	-160	-170	5	14	648	0.00761	0.02131	0.98630
-160	-140	-150	15	29	643	0.02283	0.04414	0.97869
-140	-120	-130	20	49	628	0.03044	0.07458	0.95586
-120	-100	-110	18	67	608	0.02740	0.10198	0.92542
-100	-80	-90	32	99	590	0.04871	0.15068	0.89802
-80	-60	-70	35	134	558	0.05327	0.20396	0.84932
-60	-40	-50	46	180	523	0.07002	0.27397	0.79604
-40	-20	-30	55	235	477	0.08371	0.35769	0.72603
-20	0	-10	73	308	422	0.11111	0.46880	0.64231
0	20	10	74	382	349	0.11263	0.58143	0.53120
20	40	30	53	435	275	0.08067	0.66210	0.41857
40	60	50	53	488	222	0.08067	0.74277	0.33790
60	80	70	38	526	169	0.05784	0.80061	0.25723
80	100	90	38	564	131	0.05784	0.85845	0.19939
100	120	110	26	590	93	0.03957	0.89802	0.14155
120	140	130	16	606	67	0.02435	0.92237	0.10198
140	160	150	9	615	51	0.01370	0.93607	0.07763
160	180	170	11	626	42	0.01674	0.95282	0.06393
180	200	190	12	638	31	0.01826	0.97108	0.04718
200	220	210	8	646	19	0.01218	0.98326	0.02892
220	240	230	7	653	11	0.01065	0.99391	0.01674
240	260	250	1	654	4	0.00152	0.99543	0.00609
260	280	270	0	654	3	0.00000	0.99543	0.00457
280	300	290	2	656	3	0.00304	0.99848	0.00457
300	320	310	0	656	1	0.00000	0.99848	0.00152
320	340	330	1	657	1	0.00152	1.00000	0.00152
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	657
; sum                	6328.5
; mean               	9.63242
; median class       	[-20..0[
; var                	8.07e+03
; std                	89.8546
; min                	-312.5
; max                	322.5
; range              	635
; Host name	biow
; Job started	2014-10-08.084709
; Job done	2014-10-08.084709
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
